ts,cpu_percent,rss_mb,power_w,energy_j_total
1759845279.4310498,73.00,1559.91,9.758,2046.732553
1759845280.4310305,144.00,1560.03,12.415,2059.146889
1759845281.4310079,117.00,1560.16,11.667,2070.813485
1759845282.4309638,1.00,1560.16,2.116,2072.929080
1759845283.4310496,80.00,1560.28,10.869,2083.798864
1759845284.431033,130.00,1560.28,12.012,2095.811102
1759845285.4310505,62.00,1560.41,9.522,2105.333294
1759845286.4307792,34.00,1663.78,5.456,2110.787870
1759845287.4309335,51.00,1664.16,7.197,2117.985728
1759845288.4310472,89.00,1664.53,10.740,2128.727338
1759845289.431047,81.00,1664.53,12.926,2141.652903
1759845290.4310393,88.00,1664.53,10.871,2152.524030
1759845291.4309812,0.00,1664.53,1.777,2154.301125
1759845292.4310372,57.00,1664.53,8.918,2163.219926
1759845293.4308991,103.00,1664.53,12.018,2175.236741
1759845294.4309192,133.00,1664.53,11.518,2186.755449
1759845295.430769,52.00,1664.53,7.805,2194.558835
1759845296.430986,13.00,1664.53,4.004,2198.563463
1759845297.4308095,72.00,1664.53,11.515,2210.076861
1759845298.4309738,89.00,1664.53,10.296,2220.374565
1759845299.4308915,117.00,1665.41,11.165,2231.538721
1759845300.4310107,0.00,1665.41,2.401,2233.939959
1759845301.4310327,73.00,1665.41,10.283,2244.223319
1759845302.4310477,81.00,1665.41,10.301,2254.524868
1759845303.4310462,57.00,1665.41,8.679,2263.204289
1759845304.4307652,106.00,1665.41,10.175,2273.376199
1759845305.4310331,9.00,1665.41,3.455,2276.832611
1759845306.4308972,96.00,1665.41,11.050,2287.881045
1759845307.4308977,77.00,1665.41,9.140,2297.021036
1759845308.4309542,89.00,1665.41,10.561,2307.582959
1759845309.430997,0.00,1665.41,1.638,2309.220590
1759845310.431028,120.00,1665.41,12.794,2322.015173
1759845311.4310215,108.00,1665.41,11.609,2333.624091
1759845312.4309962,78.00,1665.41,11.563,2345.187172
1759845313.4308217,90.00,1665.53,13.178,2358.362981
1759845314.430995,0.00,1665.53,1.826,2360.188965
1759845315.4309716,123.00,1665.53,11.264,2371.452608
1759845316.4309728,77.00,1665.53,9.687,2381.139900
1759845317.4308732,89.00,1665.66,11.160,2392.298441
1759845318.4307761,9.00,1665.66,3.252,2395.550325
1759845319.4309762,65.00,1680.01,10.052,2405.604132
1759845320.4308345,53.00,1680.01,8.405,2414.008224
