ts,cpu_percent,rss_mb,power_w,energy_j_total
1759844348.4502082,1565.00,714.19,58.206,21951.893143
1759844349.4502075,1572.00,715.94,58.431,22010.323902
1759844350.4502077,1575.00,716.69,58.755,22069.078757
1759844351.4502072,1577.00,718.19,58.684,22127.762566
1759844352.451913,1573.30,723.56,57.939,22185.800809
1759844353.452912,1538.50,723.56,58.297,22244.156494
1759844354.4502082,1573.30,708.12,58.488,22302.486545
1759844355.450207,1583.00,709.24,58.727,22361.213141
1759844356.4502075,1568.00,711.49,58.578,22419.790688
1759844357.450912,1580.90,711.49,58.560,22478.392284
1759844358.4502053,1570.10,721.49,58.096,22536.446762
1759844359.4509132,1580.90,662.33,58.232,22594.720050
1759844360.4502068,1580.10,664.96,58.583,22653.262137
1759844361.4502072,1547.00,664.96,58.800,22712.061913
1759844362.4502082,1575.00,668.33,58.318,22770.380306
1759844363.4529123,1576.70,668.33,58.406,22828.944609
1759844364.452913,1573.00,671.83,58.152,22887.096316
1759844365.4502065,1577.30,685.58,58.410,22945.347815
1759844366.4502075,1576.00,688.46,58.546,23003.893380
1759844367.4502084,1571.00,698.83,58.512,23062.405132
1759844368.4502068,1579.00,704.08,58.756,23121.160963
1759844369.4509127,1369.00,704.96,57.949,23179.150561
1759844370.4502075,1529.10,707.46,58.721,23237.830586
1759844371.4502099,1177.00,709.83,56.196,23294.026243
1759844372.4502082,481.00,672.51,45.809,23339.834720
1759844373.4502382,458.00,672.51,65.069,23404.905293
1759844374.4502065,330.00,673.39,49.174,23454.077408
1759844375.4502063,395.00,673.39,67.182,23521.259426
1759844376.4502065,660.00,673.39,67.599,23588.858374
1759844377.4502068,576.00,673.39,54.085,23642.943258
1759844378.450205,362.00,673.39,51.831,23694.773936
1759844379.4502208,345.00,673.39,61.265,23756.040258
1759844380.4502044,552.00,673.39,64.706,23820.744927
1759844381.4502087,387.00,673.39,56.203,23876.948335
1759844382.4502096,575.00,673.39,63.768,23940.716299
1759844383.4502065,623.00,673.39,58.306,23999.022119
1759844384.4502041,381.00,673.39,49.855,24048.876789
1759844385.4502082,544.00,673.39,67.387,24116.264495
1759844386.450208,442.00,673.39,51.189,24167.453817
1759844387.450206,319.00,673.39,55.384,24222.837891
1759844388.4502044,236.00,673.39,48.200,24271.037902
1759844389.4502037,480.00,673.39,76.339,24347.377001
1759844390.4502063,408.00,673.39,58.861,24406.238362
1759844391.4502077,578.00,673.39,64.454,24470.692481
1759844392.450208,616.00,673.39,56.829,24527.521071
1759844393.4502046,397.00,673.39,50.594,24578.114570
1759844394.4502077,453.00,673.39,63.141,24641.255766
1759844395.450208,484.00,673.39,57.176,24698.431339
1759844396.4502344,423.00,673.39,56.667,24755.100262
1759844397.4502335,455.00,673.39,61.539,24816.639594
1759844398.4502034,410.00,673.39,54.095,24870.732473
1759844399.4502277,227.00,673.39,46.332,24917.065301
1759844400.4502356,452.00,673.39,73.423,24990.488819
1759844401.4502046,308.00,673.39,52.614,25043.100928
1759844402.4502552,208.00,673.39,43.878,25086.980943
1759844403.4502342,326.00,673.39,58.321,25145.300252
1759844404.4502072,553.00,673.39,84.779,25230.076890
1759844405.4502065,471.00,673.39,61.143,25291.219922
1759844406.4502065,588.00,673.39,58.661,25349.881027
1759844407.450244,393.00,673.39,53.349,25403.231659
1759844408.4502456,371.00,673.39,54.450,25457.681776
1759844409.4502072,349.00,673.39,61.063,25518.742716
1759844410.4502363,543.00,673.39,62.921,25581.665956
1759844411.4502337,409.00,673.39,50.570,25632.236261
1759844412.4502032,290.00,673.39,54.349,25686.583717
1759844413.4502356,425.00,673.39,67.329,25753.914904
1759844414.4502041,414.00,673.39,56.651,25810.564540
1759844415.450203,352.00,673.39,57.214,25867.778260
1759844416.4502335,436.00,673.39,58.089,25925.868566
1759844417.450232,167.00,673.39,39.983,25965.851435
1759844418.450203,364.00,673.39,63.062,26028.911515
1759844419.4502058,548.00,673.39,81.324,26110.235892
1759844420.4502366,709.00,673.39,62.328,26172.565993
1759844421.450234,481.00,673.39,52.529,26225.094790
1759844422.4502354,456.00,673.39,55.592,26280.687054
1759844423.4502354,461.00,673.39,56.448,26337.135274
1759844424.4502318,396.00,673.39,55.274,26392.409242
1759844425.4502363,398.00,673.39,60.544,26452.953337
1759844426.4502363,400.00,673.39,56.329,26509.282478
1759844427.4502335,234.00,673.39,46.356,26555.638682
1759844428.4502068,497.00,673.39,76.953,26632.590084
1759844429.4502072,493.00,673.39,59.680,26692.269985
1759844430.4502041,388.00,673.39,51.415,26743.684526
1759844431.4502075,300.00,673.39,54.641,26798.325988
1759844432.4502108,641.00,673.39,72.609,26870.935177
1759844433.450238,595.00,673.39,56.647,26927.583958
1759844434.450208,609.00,673.39,55.910,26983.492506
1759844435.4502373,303.00,673.39,48.727,27032.221263
1759844436.4502082,620.00,673.39,68.378,27100.597736
1759844437.450239,278.00,673.39,39.572,27140.171121
1759844438.450235,313.00,673.39,59.085,27199.255565
1759844439.4502091,473.00,673.39,74.867,27274.120485
1759844440.4502335,428.00,673.39,56.014,27330.136272
1759844441.450235,250.00,673.39,48.669,27378.805154
1759844442.4502327,365.00,673.39,63.261,27442.066283
1759844443.450234,391.00,673.39,65.092,27507.158036
1759844444.4502418,353.00,673.39,55.341,27562.499935
1759844445.450204,340.00,673.39,58.688,27621.185759
1759844446.4502342,196.00,673.39,42.081,27663.268354
1759844447.45024,185.00,673.39,41.235,27704.503966
1759844448.4502494,467.00,673.39,75.450,27779.954945
1759844449.4502335,514.00,673.39,81.346,27861.299402
1759844450.450235,647.00,673.39,63.841,27925.140975
1759844451.4502392,368.00,673.39,44.472,27969.613090
1759844452.450234,292.00,673.39,55.083,28024.696079
1759844453.4502351,481.00,673.39,67.765,28092.460920
1759844454.4502022,531.00,673.51,62.546,28155.005315
1759844455.450241,320.00,673.51,45.739,28200.745799
1759844456.4502296,298.00,673.51,55.260,28256.005423
1759844457.450236,166.00,673.51,35.932,28291.937704
1759844458.4502342,459.00,673.51,79.286,28371.223512
1759844459.4502075,294.00,673.51,55.456,28426.678509
1759844460.4502082,535.00,673.51,79.088,28505.767052
1759844461.4502053,205.00,673.51,39.829,28545.595563
1759844462.450203,330.00,673.51,60.304,28605.899303
1759844463.4502282,315.00,673.51,57.345,28663.245591
1759844464.450204,233.00,673.51,47.308,28710.552416
1759844465.450225,357.00,673.51,61.567,28772.121167
1759844466.4502084,549.00,673.51,83.252,28855.371931
1759844467.4502347,425.00,673.51,54.477,28909.849879
1759844468.4502046,339.00,673.51,58.977,28968.825009
1759844469.4502447,606.00,673.51,64.013,29032.841020
1759844470.4502356,408.00,673.51,50.047,29082.887095
1759844471.4502404,229.00,673.51,44.904,29127.791765
1759844472.4502351,198.00,673.51,43.494,29171.285428
1759844473.450206,465.00,673.51,76.092,29247.375260
1759844474.4502344,522.00,673.51,73.697,29321.074413
1759844475.4502344,265.00,673.51,51.604,29372.678529
1759844476.4502535,377.00,673.51,65.092,29437.771807
1759844477.4502373,406.00,673.51,56.161,29493.931636
1759844478.4502335,294.00,673.51,53.722,29547.653178
1759844479.4502432,447.00,673.51,66.258,29613.911981
1759844480.450212,459.00,673.51,58.134,29672.044645
1759844481.4502048,563.00,673.51,59.136,29731.179991
1759844482.4502048,481.00,673.51,55.781,29786.961281
1759844483.4502082,523.00,673.51,60.383,29847.344061
1759844484.4502044,479.00,673.51,55.159,29902.502978
1759844485.4502373,545.00,673.51,59.012,29961.517109
1759844486.450234,372.00,673.51,52.971,30014.487554
1759844487.4502075,292.00,673.51,54.509,30068.995227
1759844488.4502106,376.00,673.51,64.011,30133.005989
1759844489.450203,210.00,673.51,43.871,30176.876299
1759844490.4502344,347.00,673.51,63.849,30240.727454
