ts,cpu_percent,rss_mb,power_w,energy_j_total
1759843410.3087866,13.00,1718.25,7.454,4643.271621
1759843411.308655,23.00,1718.25,8.520,4651.790399
1759843412.3086717,13.00,1718.25,8.675,4660.465364
1759843413.308954,35.00,1718.25,12.590,4673.058777
1759843414.3089142,12.00,1718.25,8.637,4681.695412
1759843415.3088908,20.00,1718.25,9.181,4690.876480
1759843416.3086956,15.00,1718.25,9.842,4700.716360
1759843417.3089275,39.00,1718.25,21.792,4722.512935
1759843418.3089292,28.00,1718.25,9.448,4731.961092
1759843419.3088984,32.00,1718.25,10.156,4742.116400
1759843420.3088682,9.00,1718.25,7.114,4749.230335
1759843421.3086898,15.00,1718.25,7.966,4757.195341
1759843422.3088288,7.00,1718.25,7.740,4764.936044
1759843423.3088677,41.00,1718.25,11.043,4775.979961
1759843424.3088057,11.00,1718.25,7.438,4783.417259
1759843425.3088055,31.00,1718.25,10.409,4793.825863
1759843426.308743,16.00,1718.25,7.825,4801.650366
1759843427.3087437,34.00,1718.25,10.954,4812.604745
1759843428.3087342,22.00,1718.25,10.711,4823.315533
1759843429.3086884,26.00,1718.25,9.843,4833.158098
1759843430.3086886,12.00,1718.25,7.355,4840.513487
1759843431.3088062,36.00,1718.25,10.542,4851.057222
1759843432.3086581,16.00,1718.25,8.664,4859.720286
1759843433.3086572,26.00,1718.25,9.256,4868.976427
1759843434.3087344,18.00,1718.25,8.176,4877.152859
1759843435.3088288,39.00,1718.25,10.503,4887.657043
1759843436.3089201,21.00,1718.25,8.512,4896.169717
1759843437.3088052,53.00,1718.37,12.767,4908.935004
1759843438.3089333,14.00,1718.37,7.774,4916.710192
1759843439.308936,18.00,1718.37,8.752,4925.461756
1759843440.3088026,15.00,1718.37,7.698,4933.159002
1759843441.3087366,34.00,1718.37,10.317,4943.475565
1759843442.3088965,41.00,1718.37,11.006,4954.483654
1759843443.3088634,24.00,1718.37,11.311,4965.794294
1759843444.3088064,6.00,1718.37,6.362,4972.155911
1759843445.3088064,52.00,1718.37,11.350,4983.506224
1759843446.308803,8.00,1718.37,7.346,4990.852092
1759843447.3088038,40.00,1718.37,12.100,5002.951853
1759843448.30874,9.00,1718.37,7.142,5010.093619
1759843449.3087447,25.00,1718.37,9.439,5019.532743
1759843450.3086884,17.00,1718.37,8.257,5027.789436
1759843451.3088129,29.00,1718.37,9.761,5037.551374
1759843452.3088624,11.00,1718.37,8.431,5045.982688
1759843453.3088074,28.00,1718.37,9.985,5055.967098
